,Region / Nation,Advertising and marketing: Employment 2011-2014,All creative industries: Employment 2011-2014,Architecture: Employment 2011-2014,"Design: product, graphic and fashion design: Employment 2011-2014","Film, TV, video, radio and photography: Employment 2011-2014","IT, software and computer services: Employment 2011-2014","Music, performing and visual arts: Employment 2011-2014",Publishing: Employment 2011-2014,not_creative: Employment 2011-2014,Advertising and marketing: Employment 2015-2016,All creative industries: Employment 2015-2016,Architecture: Employment 2015-2016,"Design: product, graphic and fashion design: Employment 2015-2016","Film, TV, video, radio and photography: Employment 2015-2016","IT, software and computer services: Employment 2015-2016","Music, performing and visual arts: Employment 2015-2016",Publishing: Employment 2015-2016,not_creative: Employment 2015-2016,Advertising and marketing: Change in employment (%),All creative industries: Change in employment (%),Architecture: Change in employment (%),"Design: product, graphic and fashion design: Change in employment (%)","Film, TV, video, radio and photography: Change in employment (%)","IT, software and computer services: Change in employment (%)","Music, performing and visual arts: Change in employment (%)",Publishing: Change in employment (%),not_creative: Change in employment (%),Advertising and marketing: Number of businesses 2011-2014,All creative industries: Number of businesses 2011-2014,Architecture: Number of businesses 2011-2014,"Design: product, graphic and fashion design: Number of businesses 2011-2014","Film, TV, video, radio and photography: Number of businesses 2011-2014","IT, software and computer services: Number of businesses 2011-2014","Music, performing and visual arts: Number of businesses 2011-2014",Publishing: Number of businesses 2011-2014,not_creative: Number of businesses 2011-2014,Advertising and marketing: Number of businesses 2015-2016,All creative industries: Number of businesses 2015-2016,Architecture: Number of businesses 2015-2016,"Design: product, graphic and fashion design: Number of businesses 2015-2016","Film, TV, video, radio and photography: Number of businesses 2015-2016","IT, software and computer services: Number of businesses 2015-2016","Music, performing and visual arts: Number of businesses 2015-2016",Publishing: Number of businesses 2015-2016,not_creative: Number of businesses 2015-2016,Advertising and marketing: Change in businesses (%),All creative industries: Change in businesses (%),Architecture: Change in businesses (%),"Design: product, graphic and fashion design: Change in businesses (%)","Film, TV, video, radio and photography: Change in businesses (%)","IT, software and computer services: Change in businesses (%)","Music, performing and visual arts: Change in businesses (%)",Publishing: Change in businesses (%),not_creative: Change in businesses (%),Advertising and marketing: Change in employment (total),All creative industries: Change in employment (total),Architecture: Change in employment (total),"Design: product, graphic and fashion design: Change in employment (total)","Film, TV, video, radio and photography: Change in employment (total)","IT, software and computer services: Change in employment (total)","Music, performing and visual arts: Change in employment (total)",Publishing: Change in employment (total),not_creative: Change in employment (total),Advertising and marketing: Change in number of businesses (total),All creative industries: Change in number of businesses (total),Architecture: Change in number of businesses (total),"Design: product, graphic and fashion design: Change in number of businesses (total)","Film, TV, video, radio and photography: Change in number of businesses (total)","IT, software and computer services: Change in number of businesses (total)","Music, performing and visual arts: Change in number of businesses (total)",Publishing: Change in number of businesses (total),not_creative: Change in number of businesses (total),Creative GVA 2015-2016 (Million £),Creative GVA 2015-2016 (% of total)
Huntingdon,East of England,144.75,1930.25,78.5,94,63.75,1208.25,113,228,71490.74074,145,2145,85,110,95,1340,110,250,75405,0.17,11.13,8.28,17.02,49.02,10.9,-2.65,9.65,5.48,60,650,38,50,37,381,49,35,7647.058824,57.5,732.5,45,50,50,450,45,35,8265,-4.17,12.69,18.42,0,35.14,18.11,-8.16,0,8.08,0.25,214.75,6.5,16,31.25,131.75,-3,22,3914.259259,-2.5,82.5,7,0,13,69,-4,0,617.9411765,55.22,3.48
Inverness,Scotland,40.75,995.75,99.5,45.5,229.75,180.5,123.75,276,62234.375,40,1070,110,50,275,225,110,,65580,-1.84,7.46,10.55,9.89,19.7,24.65,-11.11,,5.38,15,199,27,14,26,74,34,10,4627.906977,15,207.5,30,15,30,77.5,30,,4790,0,4.27,11.11,7.14,15.38,4.73,-11.76,,3.5,-0.75,74.25,10.5,4.5,45.25,44.5,-13.75,,3345.625,0,8.5,3,1,4,3.5,-4,,162.0930233,31.03,1.88
Ipswich,East of England,302.5,4187.5,233,162,1027.25,1697.75,513,252,155092.5926,810,5275,310,170,1170,1950,515,360,162825,167.77,25.97,33.05,4.94,13.9,14.86,0.39,42.86,4.99,111,1198,67,87,108,586,169,71,15164.55696,117.5,1272.5,82.5,85,110,632.5,170,75,16247.5,5.86,6.22,23.13,-2.3,1.85,7.94,0.59,5.63,7.14,507.5,1087.5,77,8,142.75,252.25,2,108,7732.407407,6.5,74.5,15.5,-2,2,46.5,1,4,1082.943038,129.56,3.42
Isle of Wight,South East,40.5,748,74.25,39,38.5,290.25,125.25,140.25,41555.55556,40,795,75,40,50,345,105,140,42780,-1.23,6.28,1.01,2.56,29.87,18.86,-16.17,-0.18,2.95,23,265,25,24,23,105,43,23,4732.142857,22.5,292.5,27.5,22.5,25,130,42.5,22.5,4910,-2.17,10.38,10,-6.25,8.7,23.81,-1.16,-2.17,3.76,-0.5,47,0.75,1,11.5,54.75,-20.25,-0.25,1224.444444,-0.5,27.5,2.5,-1.5,2,25,-0.5,-0.5,177.8571429,13.44,0.7
Kendal,North West,76.5,720.75,77,35.25,105.5,273.5,123.25,29.75,34321.42857,70,795,90,45,115,315,130,40,35115,-8.5,10.3,16.88,27.66,9,15.17,5.48,34.45,2.31,28,243,31,23,27,91,32,12,4959.183673,25,267.5,32.5,25,32.5,102.5,30,17.5,5067.5,-10.71,10.08,4.84,8.7,20.37,12.64,-6.25,45.83,2.18,-6.5,74.25,13,9.75,9.5,41.5,6.75,10.25,793.5714286,-3,24.5,1.5,2,5.5,11.5,-2,5.5,108.3163265,29.52,1.85
Kettering and Wellingborough,East Midlands,171.75,1455.25,123.25,160.75,58.5,641.75,134.25,165,72762.5,145,1695,190,215,65,765,140,175,82310,-15.57,16.47,54.16,33.75,11.11,19.21,4.28,6.06,13.12,49,541,32,58,37,298,46,23,10820,55,650,40,65,40,375,50,25,12100,12.24,20.15,25,12.07,8.11,25.84,8.7,8.7,11.83,-26.75,239.75,66.75,54.25,6.5,123.25,5.75,10,9547.5,6,109,8,7,3,77,4,2,1280,51.7,2.14
Kilmarnock and Irvine,Scotland,7.75,422.25,57.25,44.75,28,180,61,43.5,46916.66667,,515,,,,,,,47770,,21.97,,,,,,,1.82,7,184,24,22,19,84,24,5,4842.105263,,230,,,,,,,5285,,25,,,,,,,9.15,,92.75,,,,,,,853.3333333,,46,,,,,,,442.8947368,11.51,0.59
King's Lynn,East of England,57.5,564.75,104,48.5,68.5,164.75,90.5,31,43442.30769,55,700,160,100,80,170,90,45,45855,-4.35,23.95,53.85,106.19,16.79,3.19,-0.55,45.16,5.55,25,249,26,25,24,87,44,17,5790.697674,30,290,30,35,35,107.5,40,17.5,6072.5,20,16.47,15.38,40,45.83,23.56,-9.09,2.94,4.87,-2.5,135.25,56,51.5,11.5,5.25,-0.5,14,2412.692308,5,41,4,10,11,20.5,-4,0.5,281.8023256,9.72,0.68
Kingsbridge and Dartmouth,South West,13.75,293,49.5,22,48.25,79.25,35.75,44.5,10464.28571,,325,60,35,40,90,45,,11160,,10.92,21.21,59.09,-17.1,13.56,25.87,,6.65,8,129,18,13,25,36,23,7,2433.962264,,152.5,22.5,17.5,30,42.5,25,,2520,,18.22,25,34.62,20,18.06,8.7,,3.53,,32,10.5,13,-8.25,10.75,9.25,,695.7142857,,23.5,4.5,4.5,5,6.5,2,,86.03773585,5.52,1.57
Lancaster and Morecambe,North West,104.25,915.25,55.25,21,112.25,382,73.25,167.25,43583.33333,100,870,65,25,,470,65,,43515,-4.08,-4.94,17.65,19.05,,23.04,-11.26,,-0.16,21,207,14,14,14,103,31,10,4500,25,255,22.5,17.5,,140,27.5,,4855,19.05,23.19,60.71,25,,35.92,-11.29,,7.89,-4.25,-45.25,9.75,4,,88,-8.25,,-68.33333333,4,48,8.5,3.5,,37,-3.5,,355,28.49,1.74
Launceston,South West,24.75,168.25,22,10.75,4.25,40,35.75,30.75,8011.904762,,185,,,,,,,8460,,9.96,,,,,,,5.59,6,70,7,6,3,26,17,6,1944.444444,,75,,,,,,,1992.5,,7.14,,,,,,,2.47,,16.75,,,,,,,448.0952381,,5,,,,,,,48.05555556,2.46,0.91
Leamington Spa,West Midlands,415.25,6874.5,301.25,472.5,284.5,3796.5,1332.75,271.75,152766.6667,440,7400,380,480,320,4060,1475,240,156560,5.96,7.64,26.14,1.59,12.48,6.94,10.67,-11.68,2.48,128,1406,104,166,95,691,164,60,14800,152.5,1635,107.5,192.5,112.5,835,167.5,67.5,16455,19.14,16.29,3.37,15.96,18.42,20.84,2.13,12.5,11.18,24.75,525.5,78.75,7.5,35.5,263.5,142.25,-31.75,3793.333333,24.5,229,3.5,26.5,17.5,144,3.5,7.5,1655,241.63,5.89
Leeds,Yorkshire and The Humber,2985.25,12380.5,750,626.5,782.25,5431.5,1258.5,546.5,619025,3590,17365,990,820,765,8980,1530,690,582000,20.26,40.26,32,30.89,-2.21,65.33,21.57,26.26,-5.98,318,2490,153,206,218,1243,257,95,27977.52809,352.5,3002.5,185,225,260,1605,277.5,100,32202.5,10.85,20.58,20.92,9.22,19.27,29.12,7.98,5.26,15.1,604.75,4984.5,240,193.5,-17.25,3548.5,271.5,143.5,-37025,34.5,512.5,32,19,42,362,20.5,5,4224.97191,490.05,5.17
Leicester,East Midlands,780.75,11251.75,892.25,940,574,3612.75,669.25,3782.75,450070,900,12550,1835,1200,580,4225,695,3120,480435,15.27,11.54,105.66,27.66,1.05,16.95,3.85,-17.52,6.75,208,2182,132,296,142,1104,219,83,35193.54839,225,2732.5,152.5,320,170,1530,240,95,41060,8.17,25.23,15.53,8.11,19.72,38.59,9.59,14.46,16.67,119.25,1298.25,942.75,260,6,612.25,25.75,-662.75,30365,17,550.5,20.5,24,28,426,21,12,5866.451613,247.95,2.33
Lincoln,East Midlands,191.75,2449.25,355,159.75,303,979.5,265.5,194.75,128907.8947,180,2975,440,165,300,1485,265,155,134900,-6.13,21.47,23.94,3.29,-0.99,51.61,-0.19,-20.41,4.65,65,644,72,63,54,269,92,31,12880,65,727.5,90,67.5,57.5,312.5,100,37.5,13622.5,0,12.97,25,7.14,6.48,16.17,8.7,20.97,5.76,-11.75,525.75,85,5.25,-3,505.5,-0.5,-39.75,5992.105263,0,83.5,18,4.5,3.5,43.5,8,6.5,742.5,49.62,1.29
Liskeard,South West,104.75,337.75,29.25,17,13.25,60.75,35.75,77,13510,,220,,,,,,,13950,,-34.86,,,,,,,3.26,8,100,13,8,7,38,22,5,2564.102564,,110,,,,,,,2655,,10,,,,,,,3.55,,-117.75,,,,,,,440,,10,,,,,,,90.8974359,3.94,1.03
Liverpool,North West,663.75,5046.25,492.75,323.5,622.75,1630.5,981,332,360446.4286,730,6010,620,365,780,2120,1100,295,383475,9.98,19.1,25.82,12.83,25.25,30.02,12.13,-11.14,6.39,183,1615,118,142,138,712,250,73,25234.375,205,1917.5,127.5,137.5,162.5,927.5,277.5,82.5,29395,12.02,18.73,8.05,-3.17,17.75,30.27,11,13.01,16.49,66.25,963.75,127.25,41.5,157.25,489.5,119,-37,23028.57143,22,302.5,9.5,-4.5,24.5,215.5,27.5,9.5,4160.625,243.19,1.99
Livingston,Scotland,26.5,1006.5,63.5,18.5,37,767.75,49,44.25,62906.25,25,1310,70,20,25,1050,65,55,66720,-5.66,30.15,10.24,8.11,-32.43,36.76,32.65,24.29,6.06,19,398,23,13,15,306,13,9,4913.580247,17.5,520,20,15,17.5,420,17.5,15,5510,-7.89,30.65,-13.04,15.38,16.67,37.25,34.62,66.67,12.14,-1.5,303.5,6.5,1.5,-12,282.25,16,10.75,3813.75,-1.5,122,-3,2,2.5,114,4.5,6,596.4197531,40.98,2.3
Llandrindod Wells and Builth Wells,Wales,7,135.5,30,8,26.25,31.75,29.5,3,16937.5,,140,,,,,,,15760,,3.32,,,,,,,-6.95,5,63,7,6,9,21,13,3,2172.413793,,62.5,,,,,,,2195,,-0.79,,,,,,,1.04,,4.5,,,,,,,-1177.5,,-0.5,,,,,,,22.5862069,1.95,0.81
Llanelli,Wales,13.75,818.5,49.25,45.25,426.75,163.5,85.25,34.75,54566.66667,,820,70,40,350,170,140,40,56045,,0.18,42.13,-11.6,-17.98,3.98,64.22,15.11,2.71,10,216,18,20,25,89,42,12,7200,,247.5,20,20,35,100,40,15,7422.5,,14.58,11.11,0,40,12.36,-4.76,25,3.09,,1.5,20.75,-5.25,-76.75,6.5,54.75,5.25,1478.333333,,31.5,2,0,10,11,-2,3,222.5,12.4,0.81
Lochgilphead,Scotland,,48.5,15.5,,,7.5,17.75,,9700,,50,,,,,,,7860,,3.09,,,,,,,-18.97,,22,6,,,3,8,,536.5853659,,20,,,,,,,517.5,,-9.09,,,,,,,-3.56,,1.5,,,,,,,-1840,,-2,,,,,,,-19.08536585,0.47,0.44
London,London,63168.25,409073,21245.5,16537,94059.5,109948,46477.75,57637,6015779.412,78060,487035,26395,21000,107965,147055,50250,56315,6644605,23.57,19.06,24.24,26.99,14.78,33.75,8.12,-2.29,10.45,7142,73422,3303,5927,12695,27708,13717,2930,486238.4106,8512.5,90752.5,4127.5,7362.5,15015,37960,14420,3350,587985,19.19,23.6,24.96,24.22,18.27,37,5.13,14.33,20.93,14891.75,77962,5149.5,4463,13905.5,37107,3772.25,-1322,628825.5882,1370.5,17330.5,824.5,1435.5,2320,10252,703,420,101746.5894,29102.23,11.69
Lowestoft,East of England,30.5,559.5,46.5,64.5,80.25,157.75,103.5,76.5,29447.36842,40,620,45,75,80,200,105,75,30255,31.15,10.81,-3.23,16.28,-0.31,26.78,1.45,-1.96,2.74,15,217,19,29,27,67,42,18,4340,17.5,237.5,22.5,30,27.5,80,37.5,20,4512.5,16.67,9.45,18.42,3.45,1.85,19.4,-10.71,11.11,3.97,9.5,60.5,-1.5,10.5,-0.25,42.25,1.5,-1.5,807.6315789,2.5,20.5,3.5,1,0.5,13,-4.5,2,172.5,7.67,0.78
Ludlow,West Midlands,23,379.5,23.75,30.75,15.25,157,95,34.75,16500,,410,30,,,180,105,35,18960,,8.04,26.32,,,14.65,10.53,0.72,14.91,10,182,15,18,11,69,42,17,4044.444444,,182.5,15,,,72.5,42.5,17.5,4110,,0.27,0,,,5.07,1.19,2.94,1.62,,30.5,6.25,,,23,10,0.25,2460,,0.5,0,,,3.5,0.5,0.5,65.55555556,7.35,1.01
Luton,East of England,775.5,17511.5,655.75,671,830,12755,939.75,884.5,547234.375,825,22170,1005,910,2105,14475,1005,1845,623330,6.38,26.6,53.26,35.62,153.61,13.48,6.94,108.59,13.91,317,4052,154,272,404,2332,439,135,33766.66667,347.5,5057.5,185,320,555,3020,482.5,147.5,41385,9.62,24.81,20.13,17.65,37.38,29.5,9.91,9.26,22.56,49.5,4658.5,349.25,239,1275,1720,65.25,960.5,76095.625,30.5,1005.5,31,48,151,688,43.5,12.5,7618.333333,396.79,5.4
Malton,Yorkshire and The Humber,10.75,280.5,33.5,38.25,16.5,109.5,61,11,20035.71429,,290,,,,,,,23270,,3.39,,,,,,,16.14,5,115,14,15,8,45,22,7,3285.714286,,110,,,,,,,3350,,-4.35,,,,,,,1.96,,9.5,,,,,,,3234.285714,,-5,,,,,,,64.28571429,10.46,1.83
Manchester,North West,7698.5,41040.25,2577.25,1924.5,11953.5,12553.5,2953,1380,1172578.571,7730,48515,3695,2320,12830,16785,2980,2180,1237180,0.41,18.21,43.37,20.55,7.33,33.71,0.91,57.97,5.51,991,7565,464,610,837,3532,864,268,94562.5,1070,9182.5,525,695,1090,4522.5,952.5,325,111467.5,7.97,21.38,13.15,13.93,30.23,28.04,10.24,21.27,17.88,31.5,7474.75,1117.75,395.5,876.5,4231.5,27,800,64601.42857,79,1617.5,61,85,253,990.5,88.5,57,16905,1459.4,3.74
Mansfield,East Midlands,66.75,1128.75,54,152.5,83,621.75,106.5,44.25,125416.6667,45,1155,60,120,75,695,115,45,138040,-32.58,2.33,11.11,-21.31,-9.64,11.78,7.98,1.69,10.07,32,380,25,40,30,200,40,14,8260.869565,20,400,30,37.5,30,220,47.5,15,9010,-37.5,5.26,20,-6.25,0,10,18.75,7.14,9.07,-21.75,26.25,6,-32.5,-8,73.25,8.5,0.75,12623.33333,-12,20,5,-2.5,0,20,7.5,1,749.1304348,33.22,1.07
Margate and Ramsgate,South East,54,761.75,34.5,91,97.75,304.5,113.5,66.5,38087.5,70,960,40,100,95,430,155,70,39560,29.63,26.03,15.94,9.89,-2.81,41.22,36.56,5.26,3.87,20,310,18,42,43,109,55,24,5081.967213,25,412.5,22.5,50,62.5,145,77.5,32.5,5727.5,25,33.06,25,19.05,45.35,33.03,40.91,35.42,12.7,16,198.25,5.5,9,-2.75,125.5,41.5,3.5,1472.5,5,102.5,4.5,8,19.5,36,22.5,8.5,645.5327869,43.4,2.05
Medway,South East,609.75,4835.75,448.25,334,287.5,2059.5,337,759.75,219806.8182,655,5675,535,355,320,2615,350,850,225870,7.42,17.36,19.35,6.29,11.3,26.97,3.86,11.88,2.76,161,1592,105,156,112,798,186,76,21808.21918,185,1862.5,140,162.5,140,970,187.5,80,24690,14.91,16.99,33.33,4.17,25,21.55,0.81,5.26,13.21,45.25,839.25,86.75,21,32.5,555.5,13,90.25,6063.181818,24,270.5,35,6.5,28,172,1.5,4,2881.780822,328.63,3.7
Merthyr Tydfil,Wales,19.25,428.25,37,54.5,37,170,51.75,58.75,42825,,475,40,50,40,195,70,,41700,,10.92,8.11,-8.26,8.11,14.71,35.27,,-2.63,9,187,16,22,25,78,25,13,5054.054054,,215,20,20,25,95,32.5,,5470,,14.97,25,-9.09,0,21.79,30,,8.23,,46.75,3,-4.5,3,25,18.25,,-1125,,28,4,-2,0,17,7.5,,415.9459459,8.81,0.62
Middlesbrough and Stockton,North East,228.5,1766,228.25,169.5,78.25,807.5,217.75,36.25,135846.1538,405,2515,260,200,105,1200,295,45,143345,77.24,42.41,13.91,17.99,34.19,48.61,35.48,24.14,5.52,54,581,75,82,42,247,68,13,12104.16667,55,642.5,80,80,52.5,295,65,17.5,13645,1.85,10.59,6.67,-2.44,25,19.43,-4.41,34.62,12.73,176.5,749,31.75,30.5,26.75,392.5,77.25,8.75,7498.846154,1,61.5,5,-2,10.5,48,-3,4.5,1540.833333,68.33,1.61
Milton Keynes,South East,576.75,9071.75,247.5,285.5,300,6866.75,471.25,324,266816.1765,535,9950,320,345,345,7575,525,310,292235,-7.24,9.68,29.29,20.84,15,10.31,11.41,-4.32,9.53,171,2351,64,124,149,1599,171,74,18658.73016,170,3132.5,80,137.5,177.5,2307.5,180,77.5,22067.5,-0.58,33.24,25,10.89,19.13,44.31,5.26,4.73,18.27,-41.75,878.25,72.5,59.5,45,708.25,53.75,-14,25418.82353,-1,781.5,16,13.5,28.5,708.5,9,3.5,3408.769841,432.56,6.51
Minehead,South West,7,121.75,16.75,12.75,11,22.5,18,33.75,6763.888889,,120,,,,,,,7145,,-1.44,,,,,,,5.63,6,60,6,5,9,14,15,7,1463.414634,,62.5,,,,,,,1505,,4.17,,,,,,,2.84,,-1.75,,,,,,,381.1111111,,2.5,,,,,,,41.58536585,2.07,0.95
Motherwell and Airdrie,Scotland,62,1123,77.75,106.25,57.5,649.25,147.75,22.5,124777.7778,55,1370,85,105,75,890,95,,139235,-11.29,21.99,9.32,-1.18,30.43,37.08,-35.7,,11.59,34,468,40,36,29,272,47,11,10173.91304,30,575,47.5,35,35,365,52.5,,11325,-11.76,22.86,18.75,-2.78,20.69,34.19,11.7,,11.31,-7,247,7.25,-1.25,17.5,240.75,-52.75,,14457.22222,-4,107,7.5,-1,6,93,5.5,,1151.086957,47.81,1.16
Mull and Islay,Scotland,,37.25,,,,6.75,20,6.75,2328.125,,55,,,,,,,2490,,47.65,,,,,,,6.95,,13,,,,4,4,3,619.047619,,15,,,,,,,630,,15.38,,,,,,,1.77,,17.75,,,,,,,161.875,,2,,,,,,,10.95238095,0.82,0.75
Newbury,South East,265,5623.75,80.25,118,154.5,3594.25,342,1069.75,74983.33333,360,5305,95,140,220,3930,355,210,81955,35.85,-5.67,18.38,18.64,42.39,9.34,3.8,-80.37,9.3,85,959,37,66,68,579,97,28,8267.241379,82.5,1070,40,75,77.5,677.5,95,22.5,8832.5,-2.94,11.57,8.11,13.64,13.97,17.01,-2.06,-19.64,6.84,95,-318.75,14.75,22,65.5,335.75,13,-859.75,6971.666667,-2.5,111,3,9,9.5,98.5,-2,-5.5,565.2586207,160.07,6.72
Newcastle,North East,1024.5,10510.75,770,530.5,489.75,5879.75,1338.75,477.5,500511.9048,1100,12065,810,615,470,7010,1555,500,509405,7.37,14.79,5.19,15.93,-4.03,19.22,16.15,4.71,1.78,210,1815,125,208,190,795,216,71,26304.34783,210,2190,147.5,197.5,195,1115,245,80,29192.5,0,20.66,18,-5.05,2.63,40.25,13.43,12.68,10.98,75.5,1554.25,40,84.5,-19.75,1130.25,216.25,22.5,8893.095238,0,375,22.5,-10.5,5,320,29,9,2888.152174,299.91,3.06
Newport,Wales,67.75,1541.75,105.5,95.5,64.5,1045.75,87.75,75,128479.1667,95,1680,115,110,85,1120,80,80,127690,40.22,8.97,9,15.18,31.78,7.1,-8.83,6.67,-0.61,31,516,32,47,34,310,40,22,8600,35,602.5,37.5,40,50,370,42.5,25,9565,12.9,16.76,17.19,-14.89,47.06,19.35,6.25,13.64,11.22,27.25,138.25,9.5,14.5,20.5,74.25,-7.75,5,-789.1666667,4,86.5,5.5,-7,16,60,2.5,3,965,40.85,1.67
Newry and Banbridge,Northern Ireland,109,752.25,85,43.25,34,365.25,19.25,96.5,39592.10526,35,860,85,70,,550,,,42605,-67.89,14.32,0,61.85,,50.58,,,7.61,14,160,28,17,12,68,11,11,6956.521739,17.5,185,30,22.5,,82.5,,,7470,25,15.62,7.14,32.35,,21.32,,,7.38,-74,107.75,0,26.75,,184.75,,,3012.894737,3.5,25,2,5.5,,14.5,,,513.4782609,,
Newton Stewart,Scotland,,30,,,,6.5,,,3000,,,,,,,,,,,,,,,,,,,,12,,,,5,,,705.8823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.19
Newtown and Welshpool,Wales,28.25,180.5,20.75,18.25,17,60,25.5,10.75,16409.09091,35,190,,,,65,20,,16530,23.89,5.26,,,,8.33,-21.57,,0.74,14,97,9,12,8,33,15,7,3464.285714,15,100,,,,37.5,15,,3440,7.14,3.09,,,,13.64,0,,-0.7,6.75,9.5,,,,5,-5.5,,120.9090909,1,3,,,,4.5,0,,-24.28571429,3.45,0.74
Northallerton,Yorkshire and The Humber,63.75,593,79,52.5,54.75,227.75,90.25,25,59300,70,680,105,55,40,300,95,,60270,9.8,14.67,32.91,4.76,-26.94,31.72,5.26,,1.64,34,222,28,26,18,75,33,10,6166.666667,32.5,260,32.5,25,20,97.5,40,,6370,-4.41,17.12,16.07,-3.85,11.11,30,21.21,,3.3,6.25,87,26,2.5,-14.75,72.25,4.75,,970,-1.5,38,4.5,-1,2,22.5,7,,203.3333333,20.12,1.5
Northampton,East Midlands,369,4118,229.5,280,695.5,1649.25,731,163.75,196095.2381,405,4620,260,295,525,2120,835,170,227045,9.76,12.19,13.29,5.36,-24.51,28.54,14.23,3.82,15.78,106,1157,67,129,87,598,125,46,14833.33333,102.5,1347.5,80,127.5,92.5,780,120,42.5,17470,-3.3,16.46,19.4,-1.16,6.32,30.43,-4,-7.61,17.78,36,502,30.5,15,-170.5,470.75,104,6.25,30949.7619,-3.5,190.5,13,-1.5,5.5,182,-5,-3.5,2636.666667,105.38,2.55
Norwich,East of England,872.5,6469.75,468,274.5,424.25,1338.25,586.25,2506,208701.6129,980,6840,640,300,410,1605,645,2255,218750,12.32,5.72,36.75,9.29,-3.36,19.93,10.02,-10.02,4.81,132,1241,71,115,141,545,164,74,18250,152.5,1392.5,85,120,157.5,627.5,180,75,19752.5,15.53,12.21,19.72,4.35,11.7,15.14,9.76,1.35,8.23,107.5,370.25,172,25.5,-14.25,266.75,58.75,-251,10048.3871,20.5,151.5,14,5,16.5,82.5,16,1,1502.5,149.16,3.14
Nottingham,East Midlands,825,8353.5,520,586.25,1692.75,3762,634.75,332.75,397785.7143,915,9350,655,765,1400,4520,685,415,425940,10.91,11.93,25.96,30.49,-17.29,20.15,7.92,24.72,7.08,181,1922,136,201,153,982,192,78,24961.03896,192.5,2265,157.5,200,165,1250,207.5,95,28297.5,6.35,17.85,15.81,-0.5,7.84,27.29,8.07,21.79,13.37,90,996.5,135,178.75,-292.75,758,50.25,82.25,28154.28571,11.5,343,21.5,-1,12,268,15.5,17,3336.461039,240.74,2.82
Oban,Scotland,,120.25,14.25,5.25,14.25,6.5,,,4453.703704,,120,,,,,,,4730,,-0.21,,,,,,,6.2,,20,3,3,4,5,,,869.5652174,,22.5,,,,,,,887.5,,12.5,,,,,,,2.06,,-0.25,,,,,,,276.2962963,,2.5,,,,,,,17.93478261,0.82,0.38
Omagh and Strabane,Northern Ireland,2.75,259.25,34,48.75,40.75,24,7.25,101.75,25925,,240,,,,,,,28330,,-7.43,,,,,,,9.28,3,58,13,9,8,13,5,7,4833.333333,,55,,,,,,,5342.5,,-5.17,,,,,,,10.53,,-19.25,,,,,,,2405,,-3,,,,,,,509.1666667,,
Orkney Islands,Scotland,,126.25,6.75,6,10,16.5,30.5,56.5,9711.538462,,110,,,,,,,9470,,-12.87,,,,,,,-2.49,,33,4,4,4,8,9,4,1500,,30,,,,,,,1495,,-9.09,,,,,,,-0.33,,-16.25,,,,,,,-241.5384615,,-3,,,,,,,-5,1.76,0.61
Oswestry,West Midlands,49.75,274.75,34.25,32.25,6,93,30.5,29,18316.66667,,275,35,,,105,20,,20110,,0.09,2.19,,,12.9,-34.43,,9.79,14,120,15,13,6,49,15,9,3000,,120,15,,,50,15,,3110,,0,0,,,2.04,0,,3.67,,0.25,0.75,,,12,-10.5,,1793.333333,,0,0,,,1,0,,110,4.9,0.77
Oxford,South East,4252.25,17941.25,665.25,644.75,588,5104.75,932,5754.25,309331.8966,4055,19310,630,650,645,6305,915,6110,340040,-4.64,7.63,-5.3,0.81,9.69,23.51,-1.82,6.18,9.93,232,2882,164,228,274,1326,445,214,26440.36697,225,3200,177.5,245,325,1560,437.5,230,28482.5,-3.02,11.03,8.23,7.46,18.61,17.65,-1.69,7.48,7.72,-197.25,1368.75,-35.25,5.25,57,1200.25,-17,355.75,30708.10345,-7,318,13.5,17,51,234,-7.5,16,2042.133028,739.82,6.92
Pembroke and Tenby,Wales,21.25,160,40.75,11.75,7.5,34,23.75,21,8888.888889,,160,,,,,,,9255,,0,,,,,,,4.12,7,59,8,7,6,19,9,4,1552.631579,,55,,,,,,,1510,,-6.78,,,,,,,-2.75,,0,,,,,,,366.1111111,,-4,,,,,,,-42.63157895,1.59,0.55
Penrith,North West,8.5,363.5,55,83.5,55.25,58.25,65.5,37.5,20194.44444,,365,,,,,,,20465,,0.41,,,,,,,1.34,4,97,16,10,12,24,27,3,3464.285714,,97.5,,,,,,,3462.5,,0.52,,,,,,,-0.05,,1.5,,,,,,,270.5555556,,0.5,,,,,,,-1.785714286,3.22,0.39
Penzance,South West,33,1344.75,46,29.75,978.75,59.5,151,46.75,16399.39024,,1345,50,35,975,70,150,40,17495,,0.02,8.7,17.65,-0.38,17.65,-0.66,-14.44,6.68,9,158,12,18,19,32,50,17,2548.387097,,165,15,20,22.5,37.5,47.5,15,2627.5,,4.43,25,11.11,18.42,17.19,-5,-11.76,3.1,,0.25,4,5.25,-3.75,10.5,-1,-6.75,1095.609756,,7,3,2,3.5,5.5,-2.5,-2,79.11290323,12.07,2.08
