ball,variable,n_ttwas,mean,std,min,median,max
19,pct_econ_inactive,3,29.05,4.97,24.79,27.85,34.51
19,pop_density,3,2.36,1.34,1.17,2.11,3.8
19,log_pop_density,3,1.16,0.4,0.77,1.13,1.57
19,urban_rural_score,3,3.63,0.31,3.35,3.58,3.97
19,pct_urban,3,58.4,19.31,38.25,60.21,76.75
19,median_house_price,3,206066.67,33133.45,168250.0,219950.0,230000.0
20,pct_owned,1,49.42,,49.42,49.42,49.42
20,pct_private_rented,1,24.16,,24.16,24.16,24.16
20,pct_higher_managerial,1,13.34,,13.34,13.34,13.34
20,pct_routine,1,7.51,,7.51,7.51,7.51
20,pct_no_quals,1,18.05,,18.05,18.05,18.05
20,pct_level4_plus,1,37.19,,37.19,37.19,37.19
20,pct_self_employed,1,16.41,,16.41,16.41,16.41
20,pct_econ_inactive,1,28.2,,28.2,28.2,28.2
20,pop_density,1,36.87,,36.87,36.87,36.87
20,log_pop_density,1,3.63,,3.63,3.63,3.63
20,urban_rural_score,1,1.07,,1.07,1.07,1.07
20,pct_urban,1,98.7,,98.7,98.7,98.7
20,median_house_price,1,270000.0,,270000.0,270000.0,270000.0
21,pct_owned,1,60.44,,60.44,60.44,60.44
21,pct_private_rented,1,16.22,,16.22,16.22,16.22
21,pct_higher_managerial,1,9.47,,9.47,9.47,9.47
21,pct_routine,1,12.03,,12.03,12.03,12.03
21,pct_no_quals,1,24.66,,24.66,24.66,24.66
21,pct_level4_plus,1,25.43,,25.43,25.43,25.43
21,pct_self_employed,1,12.0,,12.0,12.0,12.0
21,pct_econ_inactive,1,31.93,,31.93,31.93,31.93
21,pop_density,1,14.22,,14.22,14.22,14.22
21,log_pop_density,1,2.72,,2.72,2.72,2.72
21,urban_rural_score,1,1.17,,1.17,1.17,1.17
21,pct_urban,1,98.28,,98.28,98.28,98.28
21,median_house_price,1,120000.0,,120000.0,120000.0,120000.0
22,pct_owned,1,66.73,,66.73,66.73,66.73
22,pct_private_rented,1,14.5,,14.5,14.5,14.5
22,pct_higher_managerial,1,15.88,,15.88,15.88,15.88
22,pct_routine,1,8.8,,8.8,8.8,8.8
22,pct_no_quals,1,17.49,,17.49,17.49,17.49
22,pct_level4_plus,1,32.79,,32.79,32.79,32.79
22,pct_self_employed,1,16.13,,16.13,16.13,16.13
22,pct_econ_inactive,1,23.77,,23.77,23.77,23.77
22,pop_density,1,1.34,,1.34,1.34,1.34
22,log_pop_density,1,0.85,,0.85,0.85,0.85
22,urban_rural_score,1,3.71,,3.71,3.71,3.71
22,pct_urban,1,54.49,,54.49,54.49,54.49
22,median_house_price,1,249995.0,,249995.0,249995.0,249995.0
23,pct_owned,1,64.9,,64.9,64.9,64.9
23,pct_private_rented,1,17.66,,17.66,17.66,17.66
23,pct_higher_managerial,1,15.47,,15.47,15.47,15.47
23,pct_routine,1,9.36,,9.36,9.36,9.36
23,pct_no_quals,1,16.88,,16.88,16.88,16.88
23,pct_level4_plus,1,36.41,,36.41,36.41,36.41
23,pct_self_employed,1,13.91,,13.91,13.91,13.91
23,pct_econ_inactive,1,27.47,,27.47,27.47,27.47
23,pop_density,1,2.54,,2.54,2.54,2.54
23,log_pop_density,1,1.26,,1.26,1.26,1.26
23,urban_rural_score,1,3.47,,3.47,3.47,3.47
23,pct_urban,1,69.0,,69.0,69.0,69.0
23,median_house_price,1,249950.0,,249950.0,249950.0,249950.0
24,pct_owned,1,64.55,,64.55,64.55,64.55
24,pct_private_rented,1,18.13,,18.13,18.13,18.13
24,pct_higher_managerial,1,6.54,,6.54,6.54,6.54
