LSOA code,March,Dec
E01012648,"65,000","52,000"
E01012649,"66,452","57,000"
E01012650,"59,000","57,000"
E01012651,"86,750","85,000"
E01012652,"130,500","153,500"
E01012653,"84,000","66,050"
E01012654,"60,500","60,000"
E01012655,:,"73,125"
E01012656,"85,000","70,000"
E01012657,"68,000","75,000"
E01012658,"75,500","73,000"
E01012659,"128,000","92,000"
E01012660,"133,000","128,000"
E01012661,"76,000","70,000"
E01032485,"276,000","300,000"
E01032486,"250,000","182,500"
E01012662,"116,750","109,500"
E01012663,"100,000","104,000"
E01012664,"110,000","104,000"
E01012665,"104,000","98,750"
E01012666,"122,250","92,000"
E01012667,"135,000","117,500"
E01012668,"118,000","112,750"
E01012669,"124,000","85,625"
E01012670,"73,750","57,750"
E01012671,"75,000","71,000"
E01012672,"67,500","61,000"
E01012673,"61,500","55,000"
E01012674,"75,000","72,500"
E01012675,"70,000","67,500"
E01012676,"102,000","89,500"
E01012677,"100,000","109,250"
E01012678,"62,500","65,000"
E01012679,"70,000","62,500"
E01012680,"95,000","74,000"
E01012681,"91,000","75,000"
E01012682,"67,250","62,750"
E01012683,"77,750","84,000"
E01012684,"79,000","72,500"
E01012685,"89,500","90,000"
E01012686,:,"69,750"
E01012687,"75,000","72,000"
E01012688,"101,475","117,000"
E01012689,"100,000","99,975"
E01012690,"115,000","94,000"
E01012691,"110,000","100,000"
E01012692,"96,000","96,000"
E01012693,"118,500","95,000"
E01012694,"91,475","100,000"
E01012695,"88,000","87,000"
E01012696,"95,250","84,250"
E01012697,"100,000","106,250"
E01012698,"72,000","56,875"
E01012699,"134,750","113,000"
E01012700,"124,950","110,350"
E01012701,"113,975","105,000"
E01012702,"140,000","110,000"
E01012703,"118,950","115,500"
E01012704,"150,000","130,000"
E01012705,"85,000","89,375"
E01012706,"102,750","100,500"
E01012707,"75,000","73,000"
E01012708,"100,000","96,000"
E01012709,"77,500","72,500"
E01012710,"119,000","125,000"
E01012711,"107,250","96,475"
E01012712,"116,250","107,000"
E01012713,"113,500","97,000"
E01012714,"127,500","120,000"
E01012715,"94,500","107,500"
E01012716,"124,000","115,000"
E01012717,"125,000","136,500"
E01012718,"138,000","128,500"
E01012719,"120,000","122,000"
E01012720,"75,000","70,000"
E01012721,"67,950",:
E01012722,"150,000","147,000"
E01012723,"125,000","109,500"
E01012724,"72,000","59,000"
E01012725,"117,500","115,000"
E01012726,"93,500","96,500"
E01012727,"170,000","162,500"
E01012728,"105,000","98,000"
E01012729,"115,500","117,500"
E01012730,"177,500","160,000"
E01012731,"100,000","100,000"
E01012732,"131,500","122,500"
E01012733,"105,000","86,000"
E01012734,"95,000","90,850"
E01012735,"110,000","98,625"
E01012736,"110,000","121,000"
E01012737,"80,000","75,000"
E01012738,"73,250","72,500"
E01012739,"91,250","84,000"
E01012740,"98,250","108,500"
E01012741,"98,000","93,500"
E01012742,"115,750","96,250"
E01012743,"81,500","83,000"
E01012744,"80,000","70,500"
E01012745,"77,000","86,000"
E01012746,"82,500","75,000"
E01012747,"145,500","125,000"
E01012748,"124,999","80,000"
E01012749,"147,250","160,000"
E01012750,"112,000","103,500"
E01012751,"115,000","85,000"
E01012752,"107,500","82,750"
E01012753,"175,000","150,000"
E01012754,"99,000","102,500"
E01012755,"133,250","116,000"
E01012756,"108,000","100,000"
E01012757,"85,000","90,000"
E01012758,"204,500","180,000"
E01012759,"80,750","76,000"
E01012760,"84,500","74,500"
E01012761,"56,250","70,250"
E01012762,"145,000","131,500"
E01012763,"112,500","111,250"
E01012764,"115,000","109,750"
E01012765,"83,750","84,250"
E01012766,"119,000","100,000"
E01012767,"110,000","115,000"
E01012768,"103,125","106,000"
E01012769,"102,000","79,500"
E01012770,"152,500","165,000"
E01012771,"97,500","107,500"
E01012772,"107,475","95,000"
E01012773,"77,750","78,000"
E01012774,"99,975","86,250"
E01012775,"88,000","87,000"
E01012776,"85,500","84,250"
E01012777,"148,250","90,000"
E01012778,"66,495","65,000"
E01012779,:,"42,000"
E01012780,:,"50,000"
E01012781,:,:
E01012782,:,:
E01012783,:,:
E01012784,"89,000","112,000"
E01012785,:,:
E01012786,:,"67,950"
E01012787,"60,000","57,000"
E01012788,"65,975","64,500"
E01012789,"72,000","48,000"
E01012790,:,"70,000"
E01012791,"120,000","120,000"
E01012792,"114,000","117,000"
E01012793,"125,000","123,000"
E01012794,"112,500","114,100"
E01012795,"92,500","97,500"
E01012796,"95,000","112,000"
E01012797,"86,000","87,000"
E01012798,"89,750","82,000"
E01012799,"92,000","79,000"
E01012800,"90,000","92,750"
E01012801,"101,000","85,000"
E01012802,"94,500","94,000"
E01012803,"93,250","77,000"
E01012804,"88,500","78,500"
E01012805,"59,000","58,000"
E01012806,"70,000","59,000"
E01012807,"143,000","122,500"
E01012808,"65,000","72,500"
E01012809,"57,000","54,625"
E01012810,"127,500","130,000"
E01012811,"122,500","120,500"
E01012812,"126,250","129,975"
E01012813,"119,950","114,750"
E01012814,"135,000","111,000"
E01012815,"96,000","99,975"
E01012816,"95,000","80,995"
E01012817,"69,950","64,950"
E01012818,"117,000","105,000"
E01012819,"82,300","92,000"
E01012820,"86,000","86,500"
E01012821,"88,988","131,500"
E01012822,"90,000","93,000"
E01012823,"74,250","74,000"
E01012824,"150,000","150,000"
E01012825,"114,250","116,950"
E01012826,"85,000","77,500"
E01012827,"117,500","107,475"
E01012828,"88,475","89,750"
E01012829,"139,998","119,995"
E01012830,"82,000","75,000"
E01012832,"103,000","98,000"
E01012833,"66,300","67,500"
E01012834,"60,000","52,000"
E01012835,"122,000","107,500"
E01012836,"63,500","70,000"
E01012837,"76,250","61,500"
E01012838,:,"47,000"
E01012839,"120,975","126,809"
E01012840,"65,000","54,500"
E01012841,:,"70,000"
E01012842,"65,500",:
E01012843,"65,250","65,000"
E01012844,:,:
E01012845,"54,000","46,500"
E01012846,:,"60,000"
E01012847,"59,975","60,000"
E01012848,"69,995","41,375"
E01012849,"63,750","68,500"
E01012850,"98,000","98,000"
E01012851,"91,975","77,475"
E01012852,"67,475","69,950"
E01012854,"99,498","99,995"
E01012855,:,"56,500"
E01012856,"72,700","68,500"
E01012857,"67,000","72,500"
E01012858,"80,475","82,975"
E01012859,"55,000","58,500"
E01012860,"93,498","97,000"
E01012862,"54,000","49,750"
E01012863,"72,500","68,000"
E01012864,"55,000","67,000"
E01012865,"93,995","59,500"
E01012866,"77,000","77,000"
E01012867,"93,000","70,000"
E01012868,"84,000","90,000"
E01012869,"79,500","84,950"
E01012870,"92,750","69,000"
E01012871,"82,000","82,450"
E01012872,"77,000","72,000"
E01012873,"65,000",:
E01012874,"55,000","58,000"
E01012875,:,:
E01012876,:,:
E01012877,:,:
E01012878,:,"48,000"
E01012879,"61,000",:
E01012880,"62,000",:
E01012881,:,:
E01012882,"103,750","120,000"
E01012883,"104,250","113,000"
E01012884,"90,000","84,000"
E01012886,"122,000","125,000"
E01012887,"99,950","80,000"
E01012888,"56,500","51,500"
E01012889,"79,950",:
E01012891,"66,250","32,500"
E01012892,"62,000","51,475"
E01012893,"52,000","44,000"
E01012894,"49,500","63,750"
E01012895,:,:
E01012896,"89,875","103,500"
E01012897,:,:
E01012898,:,"69,950"
E01012899,"70,750","60,500"
